Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Knowledge-Defined Networking,Key Technologies for On-Demand 6G Network Services,,,,10.1007/978-3-031-70606-6_3,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_3,Chapter
Beyond the Basics: An In-Depth Analysis and Multidimensional Survey of Programmable Switch in Software-Defined Networking,International Journal of Networked and Distributed Computing,,,,10.1007/s44227-024-00049-6,Vaishali A. ShirsathMadhav M. Chandane,2024,https://link.springer.com/article/10.1007/s44227-024-00049-6,Article
Rate-adaptive RDMA congestion control for AI clusters,Journal of Cloud Computing,,,,10.1186/s13677-025-00830-0,Xin HeZihao ZhangJunchang WangZheng WuWeibei FanYiping Zuo,2025,https://link.springer.com/article/10.1186/s13677-025-00830-0,Article
Fast and&#xa0;Accurate RDMA Congestion Control with&#xa0;Self-Adapting Rate Adjustment,Network and Parallel Computing,,,,10.1007/978-3-032-10466-3_28,Xin HeZihao ZhangJunchang WangZheng WuWeibei Fan,2026,https://link.springer.com/chapter/10.1007/978-3-032-10466-3_28,Conference paper
Intelligent Allocation Technologies for All-Scenario KDN Resources,Key Technologies for On-Demand 6G Network Services,,,,10.1007/978-3-031-70606-6_7,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_7,Chapter
<i>OpenStackDP</i>: a scalable network security framework for SDN-based OpenStack cloud infrastructure,Journal of Cloud Computing,,,,10.1186/s13677-023-00406-w,Prabhakar KrishnanKurunandan JainAmjad AldweeshP. PrabuRajkumar Buyya,2023,https://link.springer.com/article/10.1186/s13677-023-00406-w,Article
Observability Engineering Fundamentals,Observability Engineering with Cilium,,,,10.1007/979-8-8688-1258-3_4,Dr. Mehdi Ghane,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1258-3_4,Chapter
A review on WSN based resource constrained smart IoT systems,Discover Internet of Things,,,,10.1007/s43926-025-00152-2,Shreeram HuddaK. Haribabu,2025,https://link.springer.com/article/10.1007/s43926-025-00152-2,Article
Multi-domain network infrastructure based on P4 programmable devices for Digital Data Marketplaces,Cluster Computing,,,,10.1007/s10586-021-03501-2,Sara ShakeriLourens VeenPaola Grosso,2022,https://link.springer.com/article/10.1007/s10586-021-03501-2,Article
The Finnish Way to&#xa0;SaaS Scaling: A Qualitative Study,Software Business,,,,10.1007/978-3-032-14518-5_23,Esa EngblomAndrey SaltanSami Hyrynsalmi,2026,https://link.springer.com/chapter/10.1007/978-3-032-14518-5_23,Conference paper
ControlPULP: A RISC-V On-Chip Parallel Power Controller for Many-Core HPC Processors with FPGA-Based Hardware-In-The-Loop Power and Thermal Emulation,International Journal of Parallel Programming,,,,10.1007/s10766-024-00761-4,Alessandro OttavianoRobert BalasGiovanni BambiniAntonio Del VecchioMaicol CianiDavide RossiLuca BeniniAndrea Bartolini,2024,https://link.springer.com/article/10.1007/s10766-024-00761-4,Article
Intelligent Online Traffic Optimization Based on&#xa0;Deep Reinforcement Learning for&#xa0;Information-Centric Networks,Emerging Networking Architecture and Technologies,,,,10.1007/978-981-19-9697-9_48,Hongzhi YuXingxin QianGuangyi QinJing RenXiong Wang,2023,https://link.springer.com/chapter/10.1007/978-981-19-9697-9_48,Conference paper
Integrating Real-Time Wireless Sensor Networks into IoT Using MQTT-SN,Journal of Network and Systems Management,,,,10.1007/s10922-025-09916-1,Valentin StangaciuCristina StangaciuBianca GusitaDaniel-Ioan Curiac,2025,https://link.springer.com/article/10.1007/s10922-025-09916-1,Article
Measuring Low Latency at&#xa0;Scale: A Field Study of&#xa0;L4S in&#xa0;Residential Broadband,Passive and Active Measurement,,,,10.1007/978-3-032-18268-5_8,Ayoub Ben-AmeurFrancesco BronzinoPaul SchmittNick Feamster,2026,https://link.springer.com/chapter/10.1007/978-3-032-18268-5_8,Conference paper
All-Scenario On-Demand Service Management and Control System,Key Technologies for On-Demand 6G Network Services,,,,10.1007/978-3-031-70606-6_5,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_5,Chapter
Share and benefit: incentives for cyber threat intelligence sharing,International Journal of Information Security,,,,10.1007/s10207-025-01165-2,Tobias ReittingerJohannes GrillGünther Pernul,2026,https://link.springer.com/article/10.1007/s10207-025-01165-2,Article
Continuous Distributed Monitoring of Data Streams with Faulty Nodes,Journal of Network and Systems Management,,,,10.1007/s10922-025-10028-z,Subhas Kumar GhoshVijay Monic Vittamsetti,2026,https://link.springer.com/article/10.1007/s10922-025-10028-z,Article
Optimizing feature selection and deep learning techniques for precise detection of low-rate distributed denial of service (LDDoS) attack,Discover Internet of Things,,,,10.1007/s43926-025-00182-w,Naeem Ali Al-ShukailiMiss Laiha M. KiahIsmail Ahmedy,2025,https://link.springer.com/article/10.1007/s43926-025-00182-w,Article
Analysing Interoperability in&#xa0;Digital Twin Software Architectures for&#xa0;Manufacturing,Software Architecture,,,,10.1007/978-3-031-42592-9_12,Enxhi FerkoAlessio BucaioniPatrizio PelliccioneMoris Behnam,2023,https://link.springer.com/chapter/10.1007/978-3-031-42592-9_12,Conference paper
ControlPULP: A RISC-V Power Controller for&#xa0;HPC Processors with&#xa0;Parallel Control-Law Computation Acceleration,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-15074-6_8,Alessandro OttavianoRobert BalasGiovanni BambiniCorrado BonfantiSimone BenattiDavide RossiLuca BeniniAndrea Bartolini,2022,https://link.springer.com/chapter/10.1007/978-3-031-15074-6_8,Conference paper
Experimentation Scenarios for Machine Learning-Based Resource Management,Artificial Intelligence Applications and Innovations. AIAI 2022 IFIP WG 12.5 International Workshops,,,,10.1007/978-3-031-08341-9_11,Alexandros KostopoulosIoannis P. ChochliourosJohn VardakasMiquel PayaróSergio BarrachinaMd Arifur RahmanEvgenii VinogradovPhilippe ChanclouRoberto GonzalezCharalambos KlitisSabrina De Capitani di VimercatiPolyzois SoumplisEmmanuel VarvarigosDimitrios KritharidisKostas Chartsias,2022,https://link.springer.com/chapter/10.1007/978-3-031-08341-9_11,Conference paper
Medical Diagnosis System Based on Explainable Artificial Intelligence and Blockchain,Explainable Artificial Intelligence for Trustworthy Decisions in Smart Applications,,,,10.1007/978-3-031-97007-8_12,Cosmin-George NicolăescuFlorentina Magda EnescuNicu Bizon,2026,https://link.springer.com/chapter/10.1007/978-3-031-97007-8_12,Chapter
Network Management 2030: Operations and Control of Network 2030 Services,Journal of Network and Systems Management,,,,10.1007/s10922-020-09517-0,Alexander ClemmMohamed Faten ZhaniRaouf Boutaba,2020,https://link.springer.com/article/10.1007/s10922-020-09517-0,Article
A Responsible Internet to Increase Trust in the Digital World,Journal of Network and Systems Management,,,,10.1007/s10922-020-09564-7,Cristian HesselmanPaola GrossoRalph HolzFernando KuipersJanet Hui XueMattijs JonkerJoeri de RuiterAnna SperottoRoland van Rijswijk-DeijGiovane C. M. MouraAiko PrasCees de Laat,2020,https://link.springer.com/article/10.1007/s10922-020-09564-7,Article
LoomoRescue: An Affordable Rescue Robot for&#xa0;Evacuation Situations,"Design, Operation and Evaluation of Mobile Communications",,,,10.1007/978-3-031-35921-7_5,Denys J. C. MatthiesSven Ole SchmidtYuqi HeZhouyao YuHorst Hellbrück,2023,https://link.springer.com/chapter/10.1007/978-3-031-35921-7_5,Conference paper
Future Research Directions,Modeling and Optimization in Software-Defined Networks,,,,10.1007/978-3-031-02382-8_4,Konstantinos PoularakisLeandros TassiulasT.V. Lakshman,2021,https://link.springer.com/chapter/10.1007/978-3-031-02382-8_4,Chapter
SDN Data Plane Optimization,Modeling and Optimization in Software-Defined Networks,,,,10.1007/978-3-031-02382-8_3,Konstantinos PoularakisLeandros TassiulasT.V. Lakshman,2021,https://link.springer.com/chapter/10.1007/978-3-031-02382-8_3,Chapter
Securing Your Fleet,Apple Device Management,,,,10.1007/978-1-4842-9156-6_8,Charles EdgeRich Trouton,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9156-6_8,Chapter
"A survey on data analysis on large-Scale wireless networks: online stream processing, trends, and challenges",Journal of Internet Services and Applications,,,,10.1186/s13174-020-00127-2,Dianne S. V. MedeirosHelio N. Cunha NetoMartin Andreoni LopezLuiz Claudio S. MagalhãesNatalia C. FernandesAlex B. VieiraEdelberto F. SilvaDiogo M. F. Mattos,2020,https://link.springer.com/article/10.1186/s13174-020-00127-2,Article
Analysis of factors affecting IoT-based smart hospital design,Journal of Cloud Computing,,,,10.1186/s13677-020-00215-5,Banu Çalış UsluErtuğ OkayErkan Dursun,2020,https://link.springer.com/article/10.1186/s13677-020-00215-5,Article
Silent Consensus: Probabilistic Packet Sampling for Lightweight Network Monitoring,Computational Science and Its Applications – ICCSA 2019,,,,10.1007/978-3-030-24289-3_19,Marcel WallschlägerAlexander AckerOdej Kao,2019,https://link.springer.com/chapter/10.1007/978-3-030-24289-3_19,Conference paper
FlexNGIA: A Flexible Internet Architecture for the Next-Generation Tactile Internet,Journal of Network and Systems Management,,,,10.1007/s10922-020-09525-0,Mohamed Faten ZhaniHesham ElBakoury,2020,https://link.springer.com/article/10.1007/s10922-020-09525-0,Article
Requirements document relations,Software and Systems Modeling,,,,10.1007/s10270-021-00958-y,Katharina GroßerVolker RiedigerJan Jürjens,2022,https://link.springer.com/article/10.1007/s10270-021-00958-y,Article
Hot Spots in China,Network and Communication,,,,10.1007/978-981-15-4596-2_5,,2020,https://link.springer.com/chapter/10.1007/978-981-15-4596-2_5,Chapter
Fast correlation coefficient estimation algorithm for HBase-based massive time series data,Frontiers of Computer Science,,,,10.1007/s11704-018-6308-9,Wen LiuTuqian ZhangYanming ShenPeng Wang,2019,https://link.springer.com/article/10.1007/s11704-018-6308-9,Article
Formal Modelling and Incremental Verification of the MQTT IoT Protocol,Transactions on Petri Nets and Other Models of Concurrency XIV,,,,10.1007/978-3-662-60651-3_5,Alejandro RodríguezLars Michael KristensenAdrian Rutle,2019,https://link.springer.com/chapter/10.1007/978-3-662-60651-3_5,Chapter
Data Plane Programmability Beyond OpenFlow: Opportunities and Challenges for Network and Service Operations and Management,Journal of Network and Systems Management,,,,10.1007/s10922-017-9423-2,Weverton Luis da Costa CordeiroJonatas Adilson MarquesLuciano Paschoal Gaspary,2017,https://link.springer.com/article/10.1007/s10922-017-9423-2,Article
Securing Your Fleet,Apple Device Management,,,,10.1007/978-1-4842-5388-5_8,Charles EdgeRich Trouton,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5388-5_8,Chapter
Systems Development for the Industrial IoT: Challenges from Industry R&amp;D Projects,The Internet of Things in the Industrial Sector,,,,10.1007/978-3-030-24892-5_3,Nuno SantosFrancisco MoraisHelena RodriguesRicardo J. Machado,2019,https://link.springer.com/chapter/10.1007/978-3-030-24892-5_3,Chapter
Information Quality: The Nexus of Actionable Intelligence,Information Quality in Information Fusion and Decision Making,,,,10.1007/978-3-030-03643-0_20,Marco Antonio Solano,2019,https://link.springer.com/chapter/10.1007/978-3-030-03643-0_20,Chapter
"Analyzing the availability and performance of an e-health system integrated with edge, fog and cloud infrastructures",Journal of Cloud Computing,,,,10.1186/s13677-018-0118-3,Guto Leoni SantosPatricia Takako EndoMatheus Felipe Ferreira da Silva Lisboa TigreLeylane Graziele Ferreira da SilvaDjamel SadokJudith KelnerTheo Lynn,2018,https://link.springer.com/article/10.1186/s13677-018-0118-3,Article
Model-driven development of user interfaces for IoT systems via domain-specific components and patterns,Journal of Internet Services and Applications,,,,10.1186/s13174-017-0064-1,Marco BrambillaEric UmuhozaRoberto Acerbis,2017,https://link.springer.com/article/10.1186/s13174-017-0064-1,Article
Addressing Industry 4.0 Security by Software-Defined Networking,Guide to Security in SDN and NFV,,,,10.1007/978-3-319-64653-4_9,Rahamatullah KhondokerPedro LarbigDirk ScheuermannFrank WeberKpatcha Bayarou,2017,https://link.springer.com/chapter/10.1007/978-3-319-64653-4_9,Chapter
A Proposal of Hybrid Spatial Indexing for Addressing the Measurement Points in Monitoring Sensor Networks,"Beyond Databases, Architectures and Structures",,,,10.1007/978-3-319-18422-7_39,Michał LupaMonika ChuchroAdam PiórkowskiAnna PiętaAndrzej Leśniak,2015,https://link.springer.com/chapter/10.1007/978-3-319-18422-7_39,Conference paper
Summary and Future Trends,Sensor Technologies,,,,10.1007/978-1-4302-6014-1_12,Michael J. McGrathCliodhna Ní Scanaill,2013,https://link.springer.com/chapter/10.1007/978-1-4302-6014-1_12,Chapter
Measuring Evolving Data Streams’ Behavior through Their Intrinsic Dimension,New Generation Computing,,,,10.1007/s00354-006-0003-3,Elaine P. M. de SousaAgma J. M. TrainaCaetano Traina Jr.Christos Faloutsos,2006,https://link.springer.com/article/10.1007/s00354-006-0003-3,Article
Models of Distributed Real-Time Computing,Distributed Systems for System Architects,,,,10.1007/978-1-4615-1663-7_13,Paulo VeríssimoLuís Rodrigues,2001,https://link.springer.com/chapter/10.1007/978-1-4615-1663-7_13,Chapter
Organizing the sequencing of processes,Information Systems Methodology,,,,10.1007/3-540-08934-9_90,Fred Lesh,1978,https://link.springer.com/chapter/10.1007/3-540-08934-9_90,Conference paper
