Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Optimizing network performance through cloud load balancing and virtualization in software-defined networking,Computing,,,,10.1007/s00607-026-01635-y,Seyedeh Maedeh MirmohseniChunming TangAmir Javadpour,2026,https://link.springer.com/article/10.1007/s00607-026-01635-y,Article
Software-defined optical networking for high throughput and delay differentiation in datacenters,Annals of Telecommunications,,,,10.1007/s12243-026-01160-1,Salek Riadi,2026,https://link.springer.com/article/10.1007/s12243-026-01160-1,Article
DeepWK-MSTC: a novel approach for adaptive controller placement in software-defined networks via deep learning,The Journal of Supercomputing,,,,10.1007/s11227-026-08313-y,Rasoul FarahiAli GhaffariNahideh DerakhshanfardShiva Taghipoureivazi,2026,https://link.springer.com/article/10.1007/s11227-026-08313-y,Article
A novel state-space ODE framework with tensor decomposition for resource allocation in fog-DSDN networks,Cluster Computing,,,,10.1007/s10586-025-05931-8,Marjan MahmoudiBehrang BarekatainZahra BeheshtiAlfonso Ariza QuintanaMohammad Rasoul Velayati,2026,https://link.springer.com/article/10.1007/s10586-025-05931-8,Article
Scalable hierarchical protocol format inference via feature-heuristic message delimiter,Empirical Software Engineering,,,,10.1007/s10664-026-10814-6,Bowen HuWenlong ZhangYanyang ZhaoZhengxiong LuoKai LiangRonghua ShiYu JiangHeyuan Shi,2026,https://link.springer.com/article/10.1007/s10664-026-10814-6,Article
QoS-Aware Handoff Framework for Performance Optimization in Software-Defined Wi-Fi Networks.,Telecommunication Systems,,,,10.1007/s11235-026-01410-6,Adnan NadeemAhmed AliNazish AliSohaib Manzoor,2026,https://link.springer.com/article/10.1007/s11235-026-01410-6,Article
Adaptive multipath selection mechanism for IoT video transmission: performance evaluation and deployment,Multimedia Tools and Applications,,,,10.1007/s11042-026-21179-9,Fabiano BheringDébora OliveiraDiego PassosKatia ObraczkaCélio Albuquerque,2026,https://link.springer.com/article/10.1007/s11042-026-21179-9,Article
An optimized SDN framework for the internet of things,Discover Computing,,,,10.1007/s10791-026-09932-y,Zina HouhamdiMohamed Raid AthamenaBelkacem AthamenaShorouq Eletter,2026,https://link.springer.com/article/10.1007/s10791-026-09932-y,Article
Software-defined vehicular networks: adaptive QoS path selection for Per-OpenFlow data enhancement,The Journal of Supercomputing,,,,10.1007/s11227-025-08203-9,Bharathi Kannan BalasubramanianKarunanithi Praveen KumarSrinivasan SriramuluThaventhiran Chandrasekar,2026,https://link.springer.com/article/10.1007/s11227-025-08203-9,Article
A system software mechanism for the load balancer in IoT to support dynamic and interactive events,CSI Transactions on ICT,,,,10.1007/s40012-025-00424-w,Farzaneh Alipour TalzaliEhsan Mousavi Khaneghah,2026,https://link.springer.com/article/10.1007/s40012-025-00424-w,Article
An intelligent energy-efficient secure flooding in wireless sensor network,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-025-03140-5,S. Mary EvanchalinR. Ravi,2026,https://link.springer.com/article/10.1007/s13198-025-03140-5,Article
Secured multi-path routing protocol,International Journal of Information Technology,,,,10.1007/s41870-025-02874-6,S. PremaM. P. Divya,2026,https://link.springer.com/article/10.1007/s41870-025-02874-6,Article
Kubernetes-aware load balancing for leaf-spine EVPN data centers,Journal of Cloud Computing,,,,10.1186/s13677-025-00814-0,João CarvalheiroRui ValadasMarlon PazHélder BarataSérgio Santos,2026,https://link.springer.com/article/10.1186/s13677-025-00814-0,Article
An adaptive NLP-driven access control framework for northbound interface in software defined network,Computing,,,,10.1007/s00607-025-01601-0,Zulkarnain ZainalAzizol AbdullahFahrul Hakim HuyopMuhammad Daniel Hafiz Abdullah,2026,https://link.springer.com/article/10.1007/s00607-025-01601-0,Article
Isogeny-driven control for post-quantum cyber–physical systems,Iran Journal of Computer Science,,,,10.1007/s42044-025-00367-0,Mohammed El BarakaSiham Ezzouak,2026,https://link.springer.com/article/10.1007/s42044-025-00367-0,Article
Enhancing Security in&#xa0;Software-Defined Networking: A Review of&#xa0;Intrusion Detection Systems and&#xa0;Machine Learning Approaches,Artificial Intelligence and Green Computing,,,,10.1007/978-3-032-02312-4_19,Boukraa LamiaeSafaa MahrachKhalid El MakkaouiIbrahim OuahbiRedouane Esbai,2026,https://link.springer.com/chapter/10.1007/978-3-032-02312-4_19,Conference paper
DDoS Attacks Detection Using PSO Feature Selection and&#xa0;Classification Using XGBoost in&#xa0;SDN,Inventive Communication and Computational Technologies,,,,10.1007/978-3-032-04312-2_9,Amit KachavimathSanjana A. MoreD. G. Narayan,2026,https://link.springer.com/chapter/10.1007/978-3-032-04312-2_9,Conference paper
Optimization Approach to&#xa0;the&#xa0;Problem of&#xa0;SD-WAN Channel Selection,Intelligent Systems,,,,10.1007/978-3-032-04758-8_9,A.V. BorisovK.V. SemenikhinR.L. SmelyanskyE.P. Stepanov,2026,https://link.springer.com/chapter/10.1007/978-3-032-04758-8_9,Conference paper
Round-Asynchronous Amnesiac Flooding,Algorithmics of Wireless Networks,,,,10.1007/978-3-032-09120-8_3,Oluwatobi AlafinGeorge B. MertziosPaul G. Spirakis,2026,https://link.springer.com/chapter/10.1007/978-3-032-09120-8_3,Conference paper
Predictive Enhancement of&#xa0;RBAC Policies Using Access Log Analytics,"Cyber Security, Cryptology, and Machine Learning",,,,10.1007/978-3-032-10759-6_21,Shmuel AmourEhud Gudes,2026,https://link.springer.com/chapter/10.1007/978-3-032-10759-6_21,Conference paper
Path Optimization Using DQN in&#xa0;the&#xa0;SCION Internet Architecture,"Cyber Security, Cryptology, and Machine Learning",,,,10.1007/978-3-032-10759-6_12,Oran BourakTomer BurmanTony JohnHadassa DaltropheTammar ShrotDavid Hausheer,2026,https://link.springer.com/chapter/10.1007/978-3-032-10759-6_12,Conference paper
Correction to: A Hypothetical Case Study of SDN Parameters for Network-Based Container Setup on Raspberry Pi,ICT Systems and Sustainability,,,,10.1007/978-3-032-06662-6_49,Bimlendu ShahiV. Pushparajesh,2026,https://link.springer.com/chapter/10.1007/978-3-032-06662-6_49,Conference paper
Discussion of&#xa0;Device-Device Collective Communication in&#xa0;OpenMP Target Offloading,OpenMP: Balancing Productivity and Performance Portability,,,,10.1007/978-3-032-06343-4_1,Baodi ShanMauricio Araya-PoloJohannes DoerfertBarbara Chapman,2026,https://link.springer.com/chapter/10.1007/978-3-032-06343-4_1,Conference paper
$$\textsf{SCOOP}$$ : CoSt-effective COngestiOn Attacks in&#xa0;Payment Channel Networks,Financial Cryptography and Data Security. FC 2025 International Workshops,,,,10.1007/978-3-032-00495-6_4,Mohammed AbabnehKartick KolachalaRoopa Vishwanathan,2026,https://link.springer.com/chapter/10.1007/978-3-032-00495-6_4,Conference paper
VLDoS: Variable Low-Rate DoS Attack Model for BBR Algorithm in TCP,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_10,Meng YueZihan LaiTong WangZhijun Wu,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_10,Conference paper
Efficient Cross-Layer Coordinated Buffer Management in&#xa0;Datacenter Networks,Cloud and Network Computing,,,,10.1007/978-981-95-0129-8_9,Lingxuan MengWeibei FanBin LiNi AnZheng WuFu XiaoMengjie LvXueli Sun,2026,https://link.springer.com/chapter/10.1007/978-981-95-0129-8_9,Conference paper
Inter-Core Resource-Aware Deep Reinforcement Learning RMSCA Algorithm in SDM-EONs,Neural Information Processing,,,,10.1007/978-981-95-4094-5_6,Jing JiangYushu SuJingchi ChengTao Shang,2026,https://link.springer.com/chapter/10.1007/978-981-95-4094-5_6,Conference paper
DDoS Attack Detection Using Self-Gated Rectified Linear Unit Based Bidirectional Gated Recurrent Unit in Software Defined Networks,6G Communications Networking and Signal Processing,,,,10.1007/978-981-96-5388-1_33,Mohammed I. HabelalmateenHafidh AI SadiMandapati Venkata Rama Sundari,2026,https://link.springer.com/chapter/10.1007/978-981-96-5388-1_33,Conference paper
Prioritizing SHE Packets for Emergency Response,Smart Trends in Computing and Communications,,,,10.1007/978-981-96-7508-1_7,Vinayak Suresh BhajantriAishwarya B. KalatippiRahul B. SajjanBabusingh Ramsingh RajputM. R. KiranSuneeta Budhihal,2026,https://link.springer.com/chapter/10.1007/978-981-96-7508-1_7,Conference paper
Research on Distributed Network Management System in a Cloud Computing Environment,Intelligent Theory and Application for Sustainable Society,,,,10.1007/978-981-96-7332-2_2,Shuyao Jia,2026,https://link.springer.com/chapter/10.1007/978-981-96-7332-2_2,Conference paper
Verifiable and&#xa0;Privacy-Preserving Deep Packet Inspection for&#xa0;Multiple Rule Service Providers,Information Security and Cryptology,,,,10.1007/978-981-95-6203-9_15,Zhentao LongPengfei WuKai ZhangJunqing GongJianting Ning,2026,https://link.springer.com/chapter/10.1007/978-981-95-6203-9_15,Conference paper
Quantifying Price Improvement in&#xa0;Order Flow Auctions,Financial Cryptography and Data Security. FC 2025 International Workshops,,,,10.1007/978-3-032-00492-5_8,Brad BachuXin WanCiamac C. Moallemi,2026,https://link.springer.com/chapter/10.1007/978-3-032-00492-5_8,Conference paper
DRL-Driven Batch-Oriented SDN Migration with Weighted Traffic Matrix Clustering for Dynamic Networks,Hybrid Artificial Intelligent Systems,,,,10.1007/978-3-032-08462-0_16,Kai Yuan TanSaw Chin Tan,2026,https://link.springer.com/chapter/10.1007/978-3-032-08462-0_16,Conference paper
A QoS-Guaranteed Load Balance Scheme for&#xa0;Data Center Networks,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-031-93254-0_21,Jibin WangZhiwen XiaoZhihui WuYifei ZhangJiaxi WuJing Shang,2026,https://link.springer.com/chapter/10.1007/978-3-031-93254-0_21,Conference paper
A Border Management Protocol for&#xa0;Multi-identifier Network Within the&#xa0;Network Layer and&#xa0;Its Attack Detection Extension,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94448-2_9,Jiaqing LvHui LiKedan LiYuanshao LiangZhengqi Wu,2026,https://link.springer.com/chapter/10.1007/978-3-031-94448-2_9,Conference paper
"Software Defined Networking (SDN) Technologies and Architectures for Efficient, Adaptive Networks","Advanced Technologies in Electronics, Communications and Signal Processing",,,,10.1007/978-3-031-94280-8_3,B. V. PrasanthiP. Chenna Reddy,2026,https://link.springer.com/chapter/10.1007/978-3-031-94280-8_3,Conference paper
A Routing Optimization Mechanism for Performance Sensitive Services in Power Communication Networks,Information Processing and Network Provisioning,,,,10.1007/978-981-95-1340-6_38,Wandi LiangShaobo GengHuicong FanShijia ZhuWenxiao LiJianhua ZhaoTang Fan,2026,https://link.springer.com/chapter/10.1007/978-981-95-1340-6_38,Conference paper
Bandwidth-Aware Multipath Routing for Optimal Resource Allocation in Software-Defined Networks,ICT for Intelligent Systems,,,,10.1007/978-981-95-1365-9_24,Guang-Jhe LinChih-Heng KeCheng-Feng Hung,2026,https://link.springer.com/chapter/10.1007/978-981-95-1365-9_24,Conference paper
Resilient Multi-path Aggregation Transmission Mechanism for&#xa0;Bandwidth Enhancement,Mobile Internet Security,,,,10.1007/978-981-95-0172-4_24,Qixuan ZhangYuyin MaLiang Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-0172-4_24,Conference paper
Adaptive Threshold-Based Machine Learning for&#xa0;Elephant Flow Classification in&#xa0;SDN,Intelligent Systems,,,,10.1007/978-3-032-05117-2_29,Abinas PandaAshok Kumar TurukPrasenjit MaitiBanshidhar Majhi,2026,https://link.springer.com/chapter/10.1007/978-3-032-05117-2_29,Conference paper
DDoS Attacks Detection in&#xa0;SDN Using Multi-feature Selection Approach and&#xa0;LLMs,Inventive Communication and Computational Technologies,,,,10.1007/978-3-032-04312-2_7,Amit KachavimathSatish VaishyarAyush ChuganiPratham SinghSanjana A. More,2026,https://link.springer.com/chapter/10.1007/978-3-032-04312-2_7,Conference paper
FSR in Wireless Sensor Networks and UAVs: Enhancing Routing Efficiency,"Science, Engineering Management and Information Technology",,,,10.1007/978-3-032-01948-6_24,Mukerrem YildizEdip AymanSoude Felouz AlamKerem Mert ZehreMehmet Faruk DalayMerve Koca,2026,https://link.springer.com/chapter/10.1007/978-3-032-01948-6_24,Conference paper
A Bi-level Programming Approach for&#xa0;Software Defined Networks,Mobile Web and Intelligent Information Systems,,,,10.1007/978-3-032-02060-4_21,Andrés ViverosPablo AdasmeAli Dehghan Firoozabadi,2026,https://link.springer.com/chapter/10.1007/978-3-032-02060-4_21,Conference paper
Implementation of an IPv6 Local Area Network for Enterprise Network Scalability Planning,Software Engineering: Emerging Trends and Practices in System Development,,,,10.1007/978-3-032-04581-2_7,Elfer Adrianzen-BaltazarWilfredo Ticona,2026,https://link.springer.com/chapter/10.1007/978-3-032-04581-2_7,Conference paper
Enhancing SDN Routing Performance Through Machine Learning Techniques,"Connected Objects, Artificial Intelligence, Telecommunications and Electronics Engineering",,,,10.1007/978-3-032-01536-5_113,Ahmed BelkhadimZouhair Ibn BatoutaAbdelaziz EttaoufikAdil HilmaniAbderrahim Maizate,2026,https://link.springer.com/chapter/10.1007/978-3-032-01536-5_113,Conference paper
Optimizing Edge Capacities in Flow Networks Using Moth-Flame Optimization Integrated with Ford-Fulkerson,"Proceedings of the Future Technologies Conference (FTC) 2025, Volume 2",,,,10.1007/978-3-032-07989-3_43,Lama AwadAzzam sleitEnas Naffar,2026,https://link.springer.com/chapter/10.1007/978-3-032-07989-3_43,Conference paper
VeriFLo: Verifiable Provenance with&#xa0;Fault Localization for&#xa0;Inter-domain Routing,Computer Security – ESORICS 2025,,,,10.1007/978-3-032-07894-0_25,Utku TefekErtem EsinerFelix KottmannDeming Chen,2026,https://link.springer.com/chapter/10.1007/978-3-032-07894-0_25,Conference paper
"No Root, No Problem: Automating Linux Least Privilege and&#xa0;Securing Ansible Deployments",Computer Security – ESORICS 2025,,,,10.1007/978-3-032-07894-0_3,Eddie BilloirRomain LabordeDaniele CanaveseYves RütschléAhmad Samer WazanAbdelmalek Benzekri,2026,https://link.springer.com/chapter/10.1007/978-3-032-07894-0_3,Conference paper
Optimizing TCP Performance and QoS in Mobile Wireless Communications Through Prioritized Hard Handoff (PH2),Proceedings of International Conference on Advanced Communications and Machine Intelligence,,,,10.1007/978-981-96-5589-2_10,A. AkshathaN. U. Bhuvana GowdaN. G. Goudru,2026,https://link.springer.com/chapter/10.1007/978-981-96-5589-2_10,Conference paper
Protecting Targets in Partitioned Networks,Mechanism Design in Social Networks,,,,10.1007/978-981-95-5164-4_4,Yongle Li,2026,https://link.springer.com/chapter/10.1007/978-981-95-5164-4_4,Conference paper
OSAF: Open Service-Available First Routing Mechanism for&#xa0;Computing Power Network,Service-Oriented Computing,,,,10.1007/978-981-95-5015-9_5,Yunkang ZhangQiang WuRan WangJie HaouHao LiuYiyun Xu,2026,https://link.springer.com/chapter/10.1007/978-981-95-5015-9_5,Conference paper
Markov Chain-Based Artificial Neural Network for the Dynamic Routing on Software Defined Networks,6G Communications Networking and Signal Processing,,,,10.1007/978-981-96-5388-1_26,S. PadmakalaM. L. RaviprakashV. Divya VaniDebarshi MazumderV. Pradeep,2026,https://link.springer.com/chapter/10.1007/978-981-96-5388-1_26,Conference paper
Resiliency Trade-Offs of&#xa0;DNSSEC Configurations to&#xa0;DDoS Attacks,"Cyber Security, Cryptology, and Machine Learning",,,,10.1007/978-3-032-10759-6_17,Daniel DubnikovYehuda AfekAnat Bremler-Barr,2026,https://link.springer.com/chapter/10.1007/978-3-032-10759-6_17,Conference paper
An Effective Defense Scheme Based on SDN for DDoS Attacks System,Network and Parallel Computing,,,,10.1007/978-3-032-10459-5_35,Qinghui ChenXiaojian SongHong WenYazhi ShiZhenheng Chen,2026,https://link.springer.com/chapter/10.1007/978-3-032-10459-5_35,Conference paper
Fast and&#xa0;Accurate RDMA Congestion Control with&#xa0;Self-Adapting Rate Adjustment,Network and Parallel Computing,,,,10.1007/978-3-032-10466-3_28,Xin HeZihao ZhangJunchang WangZheng WuWeibei Fan,2026,https://link.springer.com/chapter/10.1007/978-3-032-10466-3_28,Conference paper
Novel Infrastructure Techniques,Lecture Notes in Civil Engineering,,,,10.1007/978-981-96-9120-3,Sibapriya MukherjeeUjjwal SahaDeepankar ChoudhuryDamodar Maity,2026,https://link.springer.com/book/10.1007/978-981-96-9120-3,Conference proceedings
A Multi-faceted Analysis and Comprehensive Research of Trustworthy Path Routing Technologies,Information Processing and Network Provisioning,,,,10.1007/978-981-95-1331-4_38,Cuicui WangYu FuLei XuXiaoyu YeJinyu ShiYunshi Wang,2026,https://link.springer.com/chapter/10.1007/978-981-95-1331-4_38,Conference paper
A Comparison of&#xa0;Two SDN Controllers Integration in&#xa0;OpenStack Environment,Proceedings of the Fifth International Conference on Intelligent Systems and Networks,,,,10.1007/978-981-95-1746-6_60,Thanh Loi HoangDinh Quy PhamThi Thai Mai Dinh,2026,https://link.springer.com/chapter/10.1007/978-981-95-1746-6_60,Conference paper
AHP-TOPSIS-Based Reliable Switch Migration Algorithm for Software-Defined Networks,Proceedings of International Conference on Recent Innovations in Computing,,,,10.1007/978-981-95-2577-5_25,Muhammed Nura YusufKamalrulnizam Bin Abu BakarBabangida IsyakuFarkhana Binti MuchtarPradeep Kumar Singh,2026,https://link.springer.com/chapter/10.1007/978-981-95-2577-5_25,Conference paper
Network Automation with&#xa0;Flow-Based Programming: A Case Study with&#xa0;Node-RED,Computation and Communication for Smart Systems Symposium,,,,10.1007/978-3-032-10569-1_9,Lukas BechtelJulius RuppertRené HummenTobias Heer,2026,https://link.springer.com/chapter/10.1007/978-3-032-10569-1_9,Conference paper
Knowledge-Guided Machine Learning for&#xa0;Stabilizing Near-Shortest Path Routing,"Stabilization, Safety, and Security of Distributed Systems",,,,10.1007/978-3-032-11127-2_12,Yung-Fu ChenSen LinAnish Arora,2026,https://link.springer.com/chapter/10.1007/978-3-032-11127-2_12,Conference paper
Data Plane Driven Adaptive Routing with&#xa0;In-Network Reinforcement Learning,Network and Parallel Computing,,,,10.1007/978-3-032-10466-3_38,Bo WuMeiju YuPantong WangDan QinXiliang PangGuiquan Zheng,2026,https://link.springer.com/chapter/10.1007/978-3-032-10466-3_38,Conference paper
Open Services Availability First-Based Routing and&#xa0;Scheduling Optimization for&#xa0;Wide-Area Deterministic Networks,Network and Parallel Computing,,,,10.1007/978-3-032-10459-5_9,Shengnan CaoQiang WuRan WangShuyang Li,2026,https://link.springer.com/chapter/10.1007/978-3-032-10459-5_9,Conference paper
Development of a Message Routing Method in SIEM Systems,Advances in Automation VII,,,,10.1007/978-3-032-14742-4_56,Aung Kyaw MyoE. M. PortnovI. A. Kugoev,2026,https://link.springer.com/chapter/10.1007/978-3-032-14742-4_56,Conference paper
Managing and Controlling IP Packet Traffic Based on AI at Router on Internet: A Survey,Nature of Computation and Communication,,,,10.1007/978-3-032-12846-1_3,Vuong Xuan ChiNguyen Kim QuocPhan Thi Tuoi,2026,https://link.springer.com/chapter/10.1007/978-3-032-12846-1_3,Conference paper
Declarative Debugging for&#xa0;Modern Networks,Practical Aspects of Declarative Languages,,,,10.1007/978-3-032-15981-6_11,Anduo WangMatthew Caesar,2026,https://link.springer.com/chapter/10.1007/978-3-032-15981-6_11,Conference paper
Tolerance to DDOS Attacks in SDN Networks by Dedicating a Controller to Packet-in Messages,Information Systems for Intelligent Systems,,,,10.1007/978-3-032-13006-8_29,Aïda Ouedraogo/RakissagaP. Justin Kouraogo,2026,https://link.springer.com/chapter/10.1007/978-3-032-13006-8_29,Conference paper
Agent-Based Load Balancing on&#xa0;Dynamic Programmable Network,Proceedings of International Conference on Computational Intelligence and Data Engineering,,,,10.1007/978-981-96-4691-3_21,K. P. Sathya KrishnaRohit Kumar Das,2026,https://link.springer.com/chapter/10.1007/978-981-96-4691-3_21,Conference paper
Automating Policy-as-Code Generation Pipeline for&#xa0;Data Products: An&#xa0;OpenAPI-Driven Rego Generator,Service-Oriented Computing,,,,10.1007/978-981-95-5012-8_6,Matteo BrambillaMatteo FalconiValeria Maria FortinaPierluigi PlebaniMonica Vitali,2026,https://link.springer.com/chapter/10.1007/978-981-95-5012-8_6,Conference paper
Leveraging Artificial Neural Networks for Accurate Short-Term Traffic Prediction in Centralized SDN Architecture,Information Processing and Network Provisioning,,,,10.1007/978-981-96-6465-8_31,Behdad BibakMichel KadochQia LiTao Hong,2026,https://link.springer.com/chapter/10.1007/978-981-96-6465-8_31,Conference paper
Autonomic Service Mesh Using Machine Learning Operations,ICT for Intelligent Systems,,,,10.1007/978-981-96-9048-0_10,Melvin A. GomezAnanya BhatiaAnurag VadhyarS. Afnaan MohammedSaritha Prajwal,2026,https://link.springer.com/chapter/10.1007/978-981-96-9048-0_10,Conference paper
Streamlined Pathway (SP) Approach: An Efficient Load Balancer to&#xa0;Enhance Quality of&#xa0;Service,Proceedings of Sixth Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-96-9184-5_7,Aymen Hasan Alawadi,2026,https://link.springer.com/chapter/10.1007/978-981-96-9184-5_7,Conference paper
Predictive Modeling of&#xa0;Application Runtime in&#xa0;Dragonfly Systems,Dynamic Data Driven Applications Systems,,,,10.1007/978-3-031-94895-4_39,Pietro Lodi RizziniXin WangKevin A. BrownSourav MedyaZhiling Lan,2026,https://link.springer.com/chapter/10.1007/978-3-031-94895-4_39,Conference paper
Implementation of a Border Gateway Protocol Network for a Contingency Plan in the Communication System of a FinTech,System Design in Software Engineering,,,,10.1007/978-3-031-94770-4_35,Wilder CorreaWilfredo Ticona,2026,https://link.springer.com/chapter/10.1007/978-3-031-94770-4_35,Conference paper
svRDMA: Securing an&#xa0;RDMA Network in&#xa0;Virtualization Environments,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-031-93254-0_7,Yongkang LiYang WangKenneth B. KentJerome Yen,2026,https://link.springer.com/chapter/10.1007/978-3-031-93254-0_7,Conference paper
"A Novel Approach to Enhancing Security and Performance in Mobile Cloud Computing Using SDN, NFV, and CASB",Mobile Web and Intelligent Information Systems,,,,10.1007/978-3-032-02060-4_9,Cyril Godwin SuetorDaniele ScrimieriAmna QureshiIrfan Awan,2026,https://link.springer.com/chapter/10.1007/978-3-032-02060-4_9,Conference paper
SD-IoT QoS Performance Analysis Using Mininet and Ryu: Toward Efficient Traffic Management,"Connected Objects, Artificial Intelligence, Telecommunications and Electronics Engineering",,,,10.1007/978-3-032-01536-5_88,Grif AbdelaliZyane Abdellah,2026,https://link.springer.com/chapter/10.1007/978-3-032-01536-5_88,Conference paper
Design and Analysis of Goal-Oriented Reward System on Deep Reinforcement Learning SDN Migration Framework,Mobile Web and Intelligent Information Systems,,,,10.1007/978-3-032-02060-4_24,Kai Yuan TanSaw Chin Tan,2026,https://link.springer.com/chapter/10.1007/978-3-032-02060-4_24,Conference paper
Optimization of Routes of SDN Using GNN and DRL,ICT Systems and Sustainability,,,,10.1007/978-3-032-06671-8_4,Zeeshan MirjiMuzammil KharadiPrajwal ShiggaviAbdul Razzak R. YergattiMohammed Azharuddin AdhoniSuneeta V. Budihal,2026,https://link.springer.com/chapter/10.1007/978-3-032-06671-8_4,Conference paper
A Secure Framework for Source Routing in Autonomous Systems,Recent Advancements in Artificial Intelligence,,,,10.1007/978-981-96-7760-3_5,Atul KumarVinay Kumar MishraUma Shankar YadavDevendra Somwanshi,2026,https://link.springer.com/chapter/10.1007/978-981-96-7760-3_5,Conference paper
Reduction of&#xa0;Redundant Alerts by&#xa0;Relationship Discovery Based on&#xa0;Port Usage,ICT for Intelligent Systems,,,,10.1007/978-981-96-8399-4_45,Manato HiraoTomoyuki KoyamaTakayuki Kushida,2026,https://link.springer.com/chapter/10.1007/978-981-96-8399-4_45,Conference paper
"Methodologies, Challenges, and Opportunities in Application-Centric Routing for MANETs",Proceedings of Sixth Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-96-8043-6_15,Tanay JaiswalN. R. KidwaiPriyanka Omprakash,2026,https://link.springer.com/chapter/10.1007/978-981-96-8043-6_15,Conference paper
Rate-adaptive RDMA congestion control for AI clusters,Journal of Cloud Computing,,,,10.1186/s13677-025-00830-0,Xin HeZihao ZhangJunchang WangZheng WuWeibei FanYiping Zuo,2025,https://link.springer.com/article/10.1186/s13677-025-00830-0,Article
Dynamic graph neural network-based framework to increase detection accuracy in SDN under DDOS,Scientific Reports,,,,10.1038/s41598-025-32102-x,Saad Ahmed Ali KalafySaied PashazadehPedram Salehpour,2025,https://link.springer.com/article/10.1038/s41598-025-32102-x,Article
Bio-inspired AI for adaptive and resilient software-defined networks: a self-healing approach for autonomous optimization and security,Iran Journal of Computer Science,,,,10.1007/s42044-025-00358-1,Soha RawasAgariadne Dwinggo Samala,2025,https://link.springer.com/article/10.1007/s42044-025-00358-1,Article
CSFD: Enhancing Congestion Reduction Vehicular Communication with SDN and Fog integration using Deep Reinforcement Learning,Analog Integrated Circuits and Signal Processing,,,,10.1007/s10470-025-02541-7,R. RameshK. V. AnusuyaR. Sanjeev Kumar,2025,https://link.springer.com/article/10.1007/s10470-025-02541-7,Article
