original_title,original_doi,original_authors,original_year,original_url,original_publication,abstract,citation_count,reference_count,venue,publisher,issn,isbn,pages,language,source_file,fetch_timestamp,data_sources
Forecasting-Oriented Management of&#xa0;Software-Defined Fabric Environments,10.1007/978-3-032-11539-3_21,Ariel L. C. PortelaMaria C. M. M. FerreiraRafael L. Gomes,2026,https://link.springer.com/chapter/10.1007/978-3-032-11539-3_21,Dependable and Secure Computing,,0,18,Communications in computer and information science,Springer Nature Switzerland,"1865-0929, 1865-0937","9783032115386, 9783032115393",342-352,en,p4驱动的网络遥测.csv,2026-04-17 18:22:56,"Crossref, SemanticScholar, OpenAlex"
AI-Enhanced Security for Programmable Data Planes,10.1007/979-8-8688-2358-9_16,Het Mehta,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2358-9_16,AI Agents for Secure and Software-Defined Networking,,0,0,Apress eBooks,Apress,,"9798868823572, 9798868823589",153-162,en,p4驱动的网络遥测.csv,2026-04-17 18:22:59,"Crossref, OpenAlex"
"Virtualization, Cloudification, and Service Orientation of Network: A Systematic Review",10.1007/s11390-024-4817-6,Shuo QuanShen GaoJian-Song ZhangJie Wu,2025,https://link.springer.com/article/10.1007/s11390-024-4817-6,Journal of Computer Science and Technology,,0,110,Journal of Computer Science and Technology,Springer Science and Business Media LLC,"1000-9000, 1860-4749",,701-730,en,p4驱动的网络遥测.csv,2026-04-17 18:23:05,"Crossref, SemanticScholar, OpenAlex"
C2B-DroneNet: cyber clone-driven blockchain process for secure and efficient drone network operations,10.1007/s10207-025-01149-2,Burhan Ul Islam KhanAabid A. MirAbdul Raouf KhanKhang Wen GohSuresh SankaranarayananMd. Alamin Bhuyian,2026,https://link.springer.com/article/10.1007/s10207-025-01149-2,International Journal of Information Security,,0,59,International Journal of Information Security,Springer Science and Business Media LLC,1615-5270,,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:09,"Crossref, SemanticScholar, OpenAlex"
User feedback in continuous software engineering: revealing the state-of-practice,10.1007/s10664-024-10557-2,Anastasiia TkalichEriks KlotinsTor SporsemViktoria StrayNils Brede MoeAstri Barbala,2025,https://link.springer.com/article/10.1007/s10664-024-10557-2,Empirical Software Engineering,"Organizations opt for continuous delivery of incremental updates to deal with uncertainty and minimize waste. However, applying continuous engineering (CSE) practices requires a continuous feedback loop with input from customers and end-users. It becomes increasingly challenging to apply traditional requirements elicitation and validation techniques with ever-shrinking software delivery cycles. At the same time, frequent deliveries generate an abundance of usage data and telemetry informing engineering teams of end-user behavior. The literature describing how practitioners work with user feedback in CSE, is limited. We aim to explore the state of practice related to utilization of user feedback in CSE. Specifically, what practices are used, how, and the shortcomings of these practices. We conduct a qualitative survey and report analysis from 21 interviews in 13 product development companies. We apply thematic and cross-case analysis to interpret the data. Based on our earlier work we suggest a conceptual model of how user feedback is utilized in CSE. We further report the identified challenges with the continuous collection and analysis of user feedback and identify implications for practice. Companies use a combination of qualitative and quantitative methods to infer end-user preferences. At the same time, continuous collection, analysis, interpretation, and use of data in decisions are problematic. The challenges pertain to selecting the right metrics and analysis techniques, resource allocation, and difficulties in accessing vaguely defined user groups. Our advice to practitioners in CSE is to ensure sufficient resources and effort for interpretation of the feedback, which can be facilitated by telemetry dashboards.",13,58,Empirical Software Engineering,Springer Science and Business Media LLC,"1382-3256, 1573-7616",,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:12,"Crossref, SemanticScholar, OpenAlex"
NetChecker: enabling real-time and error-locatable runtime verification for programmable networks,10.1007/s44443-025-00083-6,Ying YaoLe TianYuxiang Hu,2025,https://link.springer.com/article/10.1007/s44443-025-00083-6,Journal of King Saud University Computer and Information Sciences ,,0,30,Journal of King Saud University - Computer and Information Sciences,Springer Science and Business Media LLC,"1319-1578, 2213-1248",,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:15,"Crossref, SemanticScholar, OpenAlex"
Cybersecurity Via Programmable Networks: Are We There Yet?,10.1007/s10922-025-09970-9,Sergio Armando GutiérrezJuan Felipe BoteroLuis FletscherLuciano Paschoal GasparyNatalia GaviriaEduardo JacobAdrian LaraJesús Arturo Pérez-DíazMarco Antonio To,2025,https://link.springer.com/article/10.1007/s10922-025-09970-9,Journal of Network and Systems Management,,0,139,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:18,"Crossref, SemanticScholar, OpenAlex"
SwitchLog: A Logic Programming Language for&#xa0;Network Switches,10.1007/978-3-031-24841-2_12,Vaibhav MehtaDevon LoehrJohn SonchackDavid Walker,2023,https://link.springer.com/chapter/10.1007/978-3-031-24841-2_12,Practical Aspects of Declarative Languages,,0,20,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783031248405, 9783031248412",180-196,en,p4驱动的网络遥测.csv,2026-04-17 18:23:22,"Crossref, SemanticScholar, OpenAlex"
Knowledge-Defined Networking,10.1007/978-3-031-70606-6_3,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_3,Key Technologies for On-Demand 6G Network Services,,1,6,Wireless networks,Springer Nature Switzerland,"2366-1186, 2366-1445","9783031706059, 9783031706066",63-77,en,p4驱动的网络遥测.csv,2026-04-17 18:23:25,"Crossref, OpenAlex"
Beyond the Basics: An In-Depth Analysis and Multidimensional Survey of Programmable Switch in Software-Defined Networking,10.1007/s44227-024-00049-6,Vaishali A. ShirsathMadhav M. Chandane,2024,https://link.springer.com/article/10.1007/s44227-024-00049-6,International Journal of Networked and Distributed Computing,"The development of the programmable switch in software-defined networks (SDNs) is known for its rapid technological advancements. This growing domain has a wealth of information available on the topic, which has been collated and critically examined by many survey papers. However, previous survey papers mainly classified existing literature into predefined groups, lacking a comprehensive and distinct categorization. In contrast, this survey paper systematically analyses the last six years of literature into broad groups defined by their shared themes, methods, and technological aspects. The structured approach adopted in this paper offers a clear perspective on how the programmable data plane field has evolved. The key findings reveal significant progress in the programmable data plane in SDN, highlighting literature trends, citations, and author collaboration patterns. The incorporation of bibliometric analysis, which has hitherto not appeared in any survey, highlights the literature’s impact and reach. This analysis reveals that the average citations per publication peaked in the early years (2018–2019), with values as high as 13.0, indicating early enthusiasm in the field, followed by a gradual normalization as the research progressed. Furthermore, a substantial 46% of the included literature demonstrated significant impact and relevance in the field. The survey adopts a statistical and diagrammatic approach to enhance understanding of the evolution and interconnections in programmable data planes, decoding complex information into more comprehensible formats. Ultimately, this work can serve as a valuable resource for understanding the dynamic landscape of programmable data planes, highlighting key contributions, and setting directions for future research.",4,101,The International journal of networked and distributed computing,Springer Science and Business Media LLC,"2211-7938, 2211-7946",,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:32,"Crossref, SemanticScholar, OpenAlex"
Rate-adaptive RDMA congestion control for AI clusters,10.1186/s13677-025-00830-0,Xin HeZihao ZhangJunchang WangZheng WuWeibei FanYiping Zuo,2025,https://link.springer.com/article/10.1186/s13677-025-00830-0,Journal of Cloud Computing,"<jats:title>Abstract</jats:title>
                  <jats:p>The rapid growth of AI models has imposed increasingly stringent performance demands on data centers. Modern data centers adopt Remote Direct Memory Access (RDMA) to reduce CPU overhead and network latency. RDMA operates over a lossless network, and RDMA congestion control (CC) protocols are key enablers for achieving low-latency and high-throughput data delivery. Through in-depth experiment analysis, we reveal that existing RDMA CC protocols still suffer from sluggish congestion response and convergence speed, limiting their ability to support latency-sensitive AI applications. In this paper, we propose a switch-driven CC algorithm named FACC. FACC enables switches to precisely identify flows that actually cause congestion and promptly notifies the congestion information to senders. At the sender, FACC leverages the intrinsic packet conservation property of a lossless network to assess the extent of network congestion. Then, FACC employs a PI controller to adaptively adjust the sending rate, thereby achieving rapid congestion elimination and improving both the transmission rate and convergence speed. We conduct extensive experiments to evaluate the performance of FACC. The results show that FACC improves convergence speed while achieving at most 86.6% lower flow completion time (FCT) compared with state-of-the-art approaches.</jats:p>",0,55,Journal of Cloud Computing Advances Systems and Applications,Springer Science and Business Media LLC,2192-113X,,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:35,"Crossref, SemanticScholar, OpenAlex"
Fast and&#xa0;Accurate RDMA Congestion Control with&#xa0;Self-Adapting Rate Adjustment,10.1007/978-3-032-10466-3_28,Xin HeZihao ZhangJunchang WangZheng WuWeibei Fan,2026,https://link.springer.com/chapter/10.1007/978-3-032-10466-3_28,Network and Parallel Computing,,1,24,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783032104656, 9783032104663",336-348,en,p4驱动的网络遥测.csv,2026-04-17 18:23:38,"Crossref, SemanticScholar, OpenAlex"
Intelligent Allocation Technologies for All-Scenario KDN Resources,10.1007/978-3-031-70606-6_7,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_7,Key Technologies for On-Demand 6G Network Services,"Effectively managing network resources in the complex and ever-evolving domain of Internet of Things (IoT) ecosystems presents a formidable challenge. Conventional resource allocation methods often engaged with adapting to the dynamic nature of IoT environments, resulting in suboptimal performance and delayed responsiveness. The advent of state-of-the-art network technologies, notably intelligent reflecting surfaces (IRSs), further amplifies complexity, particularly in optimizing IRS configurations within dynamic networks. To address these complexities, this article introduces DTRiD, a fusion framework uniting digital twins (DTs), IRSs, and deep deterministic policy gradient (DDPG) to tackle these challenges. DTRiD offers a distinctive integration of DTs, IRS functionalities, and DDPGs, all aimed at augmenting communication and resource allocation within the IoT. By utilizing real-world data from wireless networks, DTRiD compiles a diverse data set capturing various network conditions. Extensive simulations demonstrate the framework’s superiority over conventional methodologies across key metrics, including accuracy, convergence, delay reduction, and energy efficiency in multiple dimensions. These results show the potential of DTRiD in restructuring the landscape of IoT communication by optimizing resource allocation dynamically, enabling it to handle complex scenarios and adapt to diverse environmental changes.",0,140,Wireless networks,Springer Nature Switzerland,"2366-1186, 2366-1445","9783031706059, 9783031706066",163-201,en,p4驱动的网络遥测.csv,2026-04-17 18:23:42,"Crossref, SemanticScholar, OpenAlex"
<i>OpenStackDP</i>: a scalable network security framework for SDN-based OpenStack cloud infrastructure,10.1186/s13677-023-00406-w,Prabhakar KrishnanKurunandan JainAmjad AldweeshP. PrabuRajkumar Buyya,2023,https://link.springer.com/article/10.1186/s13677-023-00406-w,Journal of Cloud Computing,"Network Intrusion Detection Systems (NIDS) and firewalls are the de facto solutions in the modern cloud to detect cyberattacks and minimize potential hazards for tenant networks. Most of the existing firewalls, perimeter security, and middlebox solutions are built on static rules/signatures or simple rule matching, making them inflexible, susceptible to bugs, and difficult to introduce new services. This paper aims to improve network management in OpenStack Clouds by taking advantage of the combination of software-defined networking (SDN), Network Function Virtualization (NFV), and machine learning/artificial intelligence (ML/AI) and for making networks more predictable, reliable, and secure. Artificial intelligence is being used to monitor the behavior of the virtual machines and applications running in the OpenStack SDN cloud so that when any issues or degradations are noticed, the decision can be quickly made on how to handle that issue, being able to analyze data in motion, starting at the edge. The OpenStackDP framework comprises lightweight monitoring, anomaly-detecting intelligent sensors embedded in the data plane, a threat analytics engine based on ML/AI algorithms running inside switch hardware/network co-processor, and defensive actions deployed as virtual network functions (VNFs). This network data plane-based architecture makes high-speed threat detection and rapid response possible and enables a much higher degree of security. We have built the framework with advanced streaming analytics technologies, algorithms, and machine learning to draw knowledge from this data that is in motion before the malicious traffic goes to the tenant compute nodes or long-term data store. Cloud providers and users will benefit from improved Quality-of-Services (QoS) and faster recovery from cyber-attacks and compromised switches. The multi-phase collaborative anomaly detection scheme demonstrates an accuracy of 99.81%, average latencies of 0.27 ms, and response speed within 9 s. The simulations and analysis show that the OpenStackDP network analytics framework substantially secures and outperforms prior SDN-based OpenStack solutions for Cloud architectures.",70,69,Journal of Cloud Computing Advances Systems and Applications,Springer Science and Business Media LLC,2192-113X,,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:46,"Crossref, SemanticScholar, OpenAlex"
Observability Engineering Fundamentals,10.1007/979-8-8688-1258-3_4,Dr. Mehdi Ghane,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1258-3_4,Observability Engineering with Cilium,,0,0,Apress eBooks,Apress,,"9798868812576, 9798868812583",83-147,en,p4驱动的网络遥测.csv,2026-04-17 18:23:49,"Crossref, OpenAlex"
A review on WSN based resource constrained smart IoT systems,10.1007/s43926-025-00152-2,Shreeram HuddaK. Haribabu,2025,https://link.springer.com/article/10.1007/s43926-025-00152-2,Discover Internet of Things,"In Wireless Sensor Network (i.e. WSN) based resource constrained Internet of Things (i.e. IoT) environments, efficient data forwarding is achieved through cluster based mechanisms, where cluster heads facilitate communication among themselves and with the sink node. Data collected by each cluster head is temporarily buffered before being transmitted to the sink via multi-hop communication. The integration of advanced wireless technologies, such as 5th Generation (i.e. 5G) networks, offers significant benefits, including reduced latency, extensive coverage, improved spectral efficiency, and higher data transmission rates. Incorporating Device-to-Device (i.e. D2D) communication further enhances energy efficiency and offloads data traffic, addressing critical IoT requirements such as low latency, increased network capacity, and improved spectral and energy efficiency. Software Defined Networking (i.e. SDN) addresses diverse IoT network needs across domains like smart grids, healthcare, traffic signaling, agriculture, and smart homes by enabling efficient communication, network management, and innovative control procedures. However, SDN’s application for anomaly detection and primary defense against security threats in IoT systems remains underexplored. This research investigates the potential of the design of an intelligent mechanism for energy efficient, privacy preserving, and secure communication in WSN based resource constrained IoT systems. The proposed approach leverages advanced technologies such as SDN, Machine Learning (i.e. ML), Deep Learning (i.e. DL), D2D communication, Computer Vision, and Network Function Virtualization (i.e. NFV). Additionally, it emphasizes assessing and offloading specific IoT application functions onto the network’s edge to enhance performance. Moreover, the development of lightweight security mechanisms for secure communication in resource constrained IoT environments is also identified as a crucial research domain. Despite the presence of numerous frameworks and architectures for smart IoT systems, a standardized framework and architecture is still missing, often neglecting security and privacy aspects. Cluster head selection highlights a gap and suggests the potential for developing an energy efficient mechanism by incorporating additional parameters. There is a demand for lightweight cryptosystems to provide security and protect privacy in smart IoT networks. Despite the presence of numerous frameworks and architectures for smart IoT systems, a standardized framework and architecture is still missing, often neglecting security and privacy aspects. Cluster head selection highlights a gap and suggests the potential for developing an energy efficient mechanism by incorporating additional parameters. There is a demand for lightweight cryptosystems to provide security and protect privacy in smart IoT networks.",45,169,Discover Internet of Things,Springer Science and Business Media LLC,2730-7239,,,en,p4驱动的网络遥测.csv,2026-04-17 18:23:56,"Crossref, SemanticScholar, OpenAlex"
Multi-domain network infrastructure based on P4 programmable devices for Digital Data Marketplaces,10.1007/s10586-021-03501-2,Sara ShakeriLourens VeenPaola Grosso,2022,https://link.springer.com/article/10.1007/s10586-021-03501-2,Cluster Computing,"There are many organizations interested in sharing data with others, and they can do this only if a multi-domain secure platform is available. Such platforms, often referred to as Digital Data Marketplaces (DDMs), require that all the transactions follow the pre-defined policies that are established by the participating parties i.e, domains. However, building a multi-domain network infrastructure in which each domain can manage its own connectivity while at the same time all of the transactions follow the sharing agreements is still a challenge. In this paper, we introduce a multi-domain containerized DDM that is built upon a P4-based network. It can handle the communication of multiple domains and guarantee that the operation of transactions is based on the pre-defined policies. We also studied the setup performance by defining a model which we demonstrated follows the real measurements, and we can use for decision making. The results also show the low overhead of using P4 switch in network setup time. In addition, we conducted a security evaluation which showed that our P4-based network setup is secure against most types of attacks.",2,35,Cluster Computing,Springer Science and Business Media LLC,"1386-7857, 1573-7543",,2953-2966,en,p4驱动的网络遥测.csv,2026-04-17 18:23:59,"Crossref, SemanticScholar, OpenAlex"
The Finnish Way to&#xa0;SaaS Scaling: A Qualitative Study,10.1007/978-3-032-14518-5_23,Esa EngblomAndrey SaltanSami Hyrynsalmi,2026,https://link.springer.com/chapter/10.1007/978-3-032-14518-5_23,Software Business,,0,16,Lecture notes in business information processing,Springer Nature Switzerland,"1865-1348, 1865-1356","9783032145178, 9783032145185",291-308,en,p4驱动的网络遥测.csv,2026-04-17 18:24:02,"Crossref, SemanticScholar, OpenAlex"
ControlPULP: A RISC-V On-Chip Parallel Power Controller for Many-Core HPC Processors with FPGA-Based Hardware-In-The-Loop Power and Thermal Emulation,10.1007/s10766-024-00761-4,Alessandro OttavianoRobert BalasGiovanni BambiniAntonio Del VecchioMaicol CianiDavide RossiLuca BeniniAndrea Bartolini,2024,https://link.springer.com/article/10.1007/s10766-024-00761-4,International Journal of Parallel Programming,"High-performance computing (HPC) processors are nowadays integrated cyber-physical systems demanding complex and high-bandwidth closed-loop power and thermal control strategies. To efficiently satisfy real-time multi-input multi-output (MIMO) optimal power requirements, high-end processors integrate an on-die power controller system (PCS). While traditional PCSs are based on a simple microcontroller (MCU)-class core, more scalable and flexible PCS architectures are required to support advanced MIMO control algorithms for managing the ever-increasing number of cores, power states, and process, voltage, and temperature variability. This paper presents ControlPULP, an open-source, HW/SW RISC-V parallel PCS platform consisting of a single-core MCU with fast interrupt handling coupled with a scalable multi-core programmable cluster accelerator and a specialized DMA engine for the parallel acceleration of real-time power management policies. ControlPULP relies on FreeRTOS to schedule a reactive power control firmware (PCF) application layer. We demonstrate ControlPULP in a power management use-case targeting a next-generation 72-core HPC processor. We first show that the multi-core cluster accelerates the PCF, achieving 4.9x speedup compared to single-core execution, enabling more advanced power management algorithms within the control hyper-period at a shallow area overhead, about 0.1% the area of a modern HPC CPU die. We then assess the PCS and PCF by designing an FPGA-based, closed-loop emulation framework that leverages the heterogeneous SoCs paradigm, achieving DVFS tracking with a mean deviation within 3% the plant’s thermal design power (TDP) against a software-equivalent model-in-the-loop approach. Finally, we show that the proposed PCF compares favorably with an industry-grade control algorithm under computational-intensive workloads.",10,40,International Journal of Parallel Programming,Springer Science and Business Media LLC,"0885-7458, 1573-7640",,93-123,en,p4驱动的网络遥测.csv,2026-04-17 18:24:06,"Crossref, SemanticScholar, OpenAlex"
Intelligent Online Traffic Optimization Based on&#xa0;Deep Reinforcement Learning for&#xa0;Information-Centric Networks,10.1007/978-981-19-9697-9_48,Hongzhi YuXingxin QianGuangyi QinJing RenXiong Wang,2023,https://link.springer.com/chapter/10.1007/978-981-19-9697-9_48,Emerging Networking Architecture and Technologies,,2,24,Communications in computer and information science,Springer Nature Singapore,"1865-0929, 1865-0937","9789811996962, 9789811996979",598-613,en,p4驱动的网络遥测.csv,2026-04-17 18:24:11,"Crossref, OpenAlex"
Integrating Real-Time Wireless Sensor Networks into IoT Using MQTT-SN,10.1007/s10922-025-09916-1,Valentin StangaciuCristina StangaciuBianca GusitaDaniel-Ioan Curiac,2025,https://link.springer.com/article/10.1007/s10922-025-09916-1,Journal of Network and Systems Management,"Wireless Sensor Networks gradually became a mature technology that enabled the implementation of a large number of critical applications. However, the integration of such networks in much more complex systems, such as IoT, still poses a major challenge. In this paper we present a viable solution to accomplish such a difficult task by using MQTT-SN to integrate critical real-time WSNs into an IoT platform. The core of our work is a platform independent real-time driver for MQTT-SN along with a communication architecture to enable the integration of low end devices into an MQTT network using MQTT-SN. We also describe a comprehensive practical demonstration using real hardware modules that validates our claimed solution.",7,59,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,,en,p4驱动的网络遥测.csv,2026-04-17 18:24:18,"Crossref, SemanticScholar, OpenAlex"
Measuring Low Latency at&#xa0;Scale: A Field Study of&#xa0;L4S in&#xa0;Residential Broadband,10.1007/978-3-032-18268-5_8,Ayoub Ben-AmeurFrancesco BronzinoPaul SchmittNick Feamster,2026,https://link.springer.com/chapter/10.1007/978-3-032-18268-5_8,Passive and Active Measurement,,0,14,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783032182678, 9783032182685",168-181,en,p4驱动的网络遥测.csv,2026-04-17 18:24:22,"Crossref, SemanticScholar, OpenAlex"
All-Scenario On-Demand Service Management and Control System,10.1007/978-3-031-70606-6_5,Jianxin LiaoBo HeJing WangJingyu WangQi Qi,2024,https://link.springer.com/chapter/10.1007/978-3-031-70606-6_5,Key Technologies for On-Demand 6G Network Services,,0,9,Wireless networks,Springer Nature Switzerland,"2366-1186, 2366-1445","9783031706059, 9783031706066",93-120,en,p4驱动的网络遥测.csv,2026-04-17 18:24:25,"Crossref, OpenAlex"
